Date,Time,Area Name,Road/Intersection Name,Traffic Volume,Average Speed,Travel Time Index,Congestion Level,Road Capacity Utilization,Incident Reports,Environmental Impact,Public Transport Usage,Traffic Signal Compliance,Parking Usage,Pedestrian and Cyclist Count,Weather Conditions,Temperature,Roadwork and Construction Activity,Searches,Searches which got estimate,Searches for Quotes,Searches which got Quotes,Bookings,Completed Trips,Search-to-estimate Rate,Estimate-to-search for quotes Rate,Quote Acceptance Rate,Quote-to-booking Rate,Cancelled Bookings,Booking Cancellation Rate,Conversion Rate,Drivers' Earnings,Average Distance per Trip (km),Average Fare per Trip,Distance Travelled (km),latitude,longitude,h3_index,event name,event type,event importance
01-01-2024,00:45,Hebbal,Outer Ring Road,115,47.4,1.27,12.8,2.3,0,136.8,18,92,71,21,Clear,32.9,0,98,91,62,60,36,32,0.929,0.968,0.6,0.6,4,0.111,0.327,2872.32,7.36,133.96,235.52,13.038659,77.593581,8986d886abbffff,City Cultural Event  Hebbal,Sports,0.5
01-01-2024,08:30,Yeshwanthpur,Tumkur Road,925,51.7,1.16,21.2,18.5,1,153.0,39,80,76,25,Clear,28.9,0,480,419,393,322,240,234,0.873,0.819,0.745,0.745,6,0.025,0.487,22376.61,4.65,86.88,1088.1,13.02128,77.545858,8986dd49b7bffff,Local Fair  Yeshwanthpur,Local,0.29
01-01-2024,08:30,Indiranagar,100 Feet Road,736,47.3,1.27,20.9,14.7,0,144.5,53,97,77,22,Light Rain,24.9,0,912,869,621,531,314,221,0.953,0.855,0.591,0.591,93,0.296,0.242,7663.91,4.14,98.99,914.94,12.976945,77.643432,8986d8860b7ffff,Neighborhood Event  Indiranagar,No Event,0.17
01-01-2024,09:15,Electronic City,Hosur Road,672,45.3,1.32,21.1,13.4,0,143.2,23,85,28,30,Clear,31.9,0,226,206,135,123,100,72,0.912,0.911,0.813,0.813,28,0.28,0.319,3755.79,8.0,117.88,576.0,12.831413,77.675142,8986d887557ffff,No Event,No Event,0.0
01-01-2024,09:30,Electronic City,Neeladri Road,590,47.8,1.26,18.8,11.8,2,166.8,20,81,34,7,Light Rain,22.9,0,519,450,409,358,217,210,0.867,0.875,0.606,0.606,7,0.032,0.405,24993.96,6.08,109.04,1276.8,12.837597,77.670298,8986d8873d7ffff,Neighborhood Event  Electronic City,No Event,0.17
01-01-2024,14:15,Electronic City,Velankani Junction,81,49.8,1.2,11.2,1.6,0,160.0,39,86,79,3,Cloudy,24.0,1,224,203,198,184,162,118,0.906,0.929,0.88,0.88,44,0.272,0.527,8821.47,7.9,146.48,932.2,12.836427,77.669637,8986d8875a3ffff,Startup Expo  Electronic City,Exhibition,0.52
01-01-2024,17:00,Jayanagar,Jayanagar 4th Block,940,60.3,1.0,17.1,18.8,0,138.8,27,96,35,17,Clear,29.9,0,331,314,256,204,158,125,0.949,0.797,0.775,0.775,33,0.209,0.378,13952.02,3.53,96.1,441.25,12.92498,77.589068,8986d886aafffff,No Event,No Event,0.0
01-01-2024,17:30,Jayanagar,9th Main Road,834,46.7,1.28,22.5,16.7,2,148.4,35,81,76,23,Cloudy,27.1,0,286,268,256,240,149,105,0.937,0.938,0.621,0.621,44,0.295,0.367,12360.43,3.57,87.3,374.85,12.920951,77.594044,8986d88412bffff,Neighborhood Festivity  Jayanagar,Cultural,0.34
01-01-2024,20:00,Marathahalli,Old Airport Road,1136,39.3,1.53,30.1,22.7,2,164.9,37,92,85,12,Light Rain,25.3,0,237,224,155,148,110,104,0.945,0.955,0.743,0.743,6,0.055,0.439,6564.23,4.16,106.19,432.64,12.949878,77.69759,8986d8874c7ffff,Neighborhood Festivity  Marathahalli,Cultural,0.37
01-01-2024,20:15,BTM Layout,Outer Ring Road,603,43.4,1.38,21.1,12.1,0,171.4,42,84,38,13,Clear,33.0,0,230,196,125,105,86,74,0.852,0.84,0.819,0.819,12,0.14,0.322,3499.82,3.5,78.4,259.0,12.910772,77.60794,8986dd49027ffff,No Event,No Event,0.0
01-01-2024,20:30,Electronic City,Hosur Road,760,50.8,1.18,19.5,15.2,2,139.5,31,96,66,2,Clear,29.3,0,114,105,96,79,43,30,0.921,0.823,0.544,0.544,13,0.302,0.263,1942.02,4.92,124.3,147.6,12.831413,77.675142,8986d887557ffff,Neighborhood Festivity  Electronic City,Cultural,0.21
01-01-2024,22:00,Basavanagudi,DVG Road,147,55.1,1.09,9.4,2.9,1,148.4,25,86,66,33,Light Rain,23.3,0,119,111,77,73,52,40,0.933,0.948,0.712,0.712,12,0.231,0.336,3362.0,9.31,184.17,372.4,12.943109,77.568541,8986dd49a0bffff,"Global Music Festival  Koramangala Indoor Stadium, Basavanagudi",Concert,0.93
01-01-2024,22:15,Rajajinagar,Chord Road,200,45.5,1.32,14.8,4.0,0,153.1,33,92,60,1,Storm,18.6,1,84,73,45,42,35,33,0.869,0.933,0.833,0.833,2,0.057,0.393,3455.78,2.24,87.52,73.92,12.992372,77.551166,8986dd49d67ffff,No Event,No Event,0.0
01-01-2024,22:30,Banashankari,Ring Road Junction,149,59.3,1.01,7.3,3.0,0,154.7,10,90,74,34,Fog,20.8,1,148,141,114,111,87,70,0.953,0.974,0.784,0.784,17,0.195,0.473,4655.79,7.59,154.1,531.3,12.923679,77.568044,8986d884883ffff,No Event,No Event,0.0
02-01-2024,00:00,Indiranagar,100 Feet Road,299,52.5,1.14,12.6,6.0,0,151.0,20,98,55,20,Clear,28.3,1,335,315,297,263,196,182,0.94,0.886,0.745,0.745,14,0.071,0.543,7616.24,4.67,106.68,849.94,12.976945,77.643432,8986d8860b7ffff,No Event,No Event,0.0
02-01-2024,00:00,BTM Layout,BTM Main Road,266,53.3,1.13,11.8,5.3,0,146.6,5,94,42,7,Clear,28.0,1,137,129,78,65,44,32,0.942,0.833,0.677,0.677,12,0.273,0.234,1986.37,5.5,94.68,176.0,12.911673,77.614754,8986d886e1bffff,Neighborhood Event  BTM Layout,No Event,0.16
02-01-2024,08:00,Koramangala,Intermediate Ring Road,660,49.8,1.2,18.7,13.2,0,145.2,39,99,58,45,Cloudy,25.7,1,227,210,143,136,124,88,0.925,0.951,0.912,0.912,36,0.29,0.388,35761.22,9.48,185.09,834.24,12.929295,77.613727,8986d886ccfffff,"RCB Premier Match  M. Chinnaswamy Stadium, Koramangala",Sports,0.7
02-01-2024,08:30,Marathahalli,Outer Ring Road,995,48.1,1.25,23.9,19.9,1,165.2,25,90,86,35,Cloudy,26.2,0,735,682,613,594,583,526,0.928,0.969,0.981,0.981,57,0.098,0.716,82566.73,6.29,107.66,3308.54,12.951012,77.696949,8986d880d77ffff,Karaga Festival Parade  Marathahalli,Cultural,0.71
02-01-2024,09:15,Banashankari,Outer Ring Road,750,55.4,1.08,17.1,15.0,0,145.5,12,82,25,25,Clear,28.9,0,200,179,134,115,89,73,0.895,0.858,0.774,0.774,16,0.18,0.365,4769.86,7.01,130.94,511.73,12.916347,77.566512,8986dd49abbffff,No Event,No Event,0.0
02-01-2024,14:45,Whitefield,Varthur Road,79,66.1,1.0,3.0,1.6,1,135.1,22,97,39,35,Cloudy,25.5,0,229,216,203,187,116,89,0.943,0.921,0.62,0.62,27,0.233,0.389,7015.17,2.3,67.12,204.7,12.969941,77.75045,8986d882c0bffff,No Event,No Event,0.0
02-01-2024,17:00,Banashankari,Kanakapura Road,446,46.0,1.3,17.8,8.9,0,152.6,32,94,37,40,Clear,28.6,0,555,503,449,407,288,230,0.906,0.906,0.708,0.708,58,0.201,0.414,19905.37,2.11,81.93,485.3,12.92234,77.568681,8986dd49a87ffff,No Event,No Event,0.0
02-01-2024,17:30,Malleshwaram,Malleshwaram Circle,1013,41.5,1.45,27.4,20.3,1,169.0,43,84,91,23,Light Rain,22.5,0,831,737,617,534,528,508,0.887,0.865,0.989,0.989,20,0.038,0.611,96712.77,2.81,103.49,1427.48,13.010528,77.569876,8986dd49a83ffff,City Cultural Event  Malleshwaram,Sports,0.66
02-01-2024,18:00,Jayanagar,30th Cross Road,1089,37.5,1.6,30.4,21.8,0,174.9,3,97,39,10,Clear,28.2,0,118,109,75,61,48,40,0.924,0.813,0.787,0.787,8,0.167,0.339,1986.95,8.35,137.04,334.0,12.925834,77.585989,8986d886877ffff,Local Band Night  Jayanagar,Concert,0.3
02-01-2024,18:30,HSR Layout,Outer Ring Road,798,51.9,1.16,19.4,16.0,1,161.9,13,85,31,5,Clear,32.0,0,289,257,240,230,179,170,0.889,0.958,0.778,0.778,9,0.05,0.588,21320.97,5.55,110.07,943.5,12.907089,77.636845,8986d88440bffff,Neighborhood Event  HSR Layout,No Event,0.18
02-01-2024,20:00,Electronic City,Velankani Junction,856,41.3,1.45,25.5,17.1,2,180.6,10,84,53,29,Storm,21.4,0,261,244,149,141,116,89,0.935,0.946,0.823,0.823,27,0.233,0.341,7885.95,6.15,126.59,547.35,12.836427,77.669637,8986d8875a3ffff,No Event,No Event,0.0
02-01-2024,20:45,BTM Layout,Outer Ring Road,547,44.8,1.34,19.7,10.9,2,173.5,24,82,94,25,Fog,20.1,0,171,165,134,121,80,64,0.965,0.903,0.661,0.661,16,0.2,0.374,8933.23,3.76,109.24,240.64,12.910772,77.60794,8986dd49027ffff,City Cultural Event  BTM Layout,Sports,0.51
02-01-2024,22:00,BTM Layout,Madiwala Road,314,50.3,1.19,13.9,6.3,1,166.5,16,98,85,8,Clear,32.9,1,401,352,247,210,191,159,0.878,0.85,0.91,0.91,32,0.168,0.397,18016.49,3.46,94.28,550.14,12.90537,77.6081,8986d886c0bffff,College Fest  BTM Layout,Local,0.38
02-01-2024,22:15,Ulsoor,Old Madras Road,250,49.3,1.22,13.6,5.0,0,159.0,16,95,67,32,Cloudy,24.4,0,311,290,231,208,200,186,0.932,0.9,0.962,0.962,14,0.07,0.598,24992.95,4.06,99.42,755.16,12.984844,77.616614,8986dd49267ffff,Neighborhood Event  Ulsoor,No Event,0.16
03-01-2024,08:45,Indiranagar,100 Feet Road,677,49.1,1.22,19.3,13.5,0,148.9,50,89,74,45,Clear,32.3,0,466,433,396,371,349,278,0.929,0.937,0.941,0.941,71,0.203,0.597,60152.89,8.03,137.38,2232.34,12.976945,77.643432,8986d8860b7ffff,Tech Connect Expo  Indiranagar,Exhibition,0.48
03-01-2024,09:15,Rajajinagar,Industrial Town Road,631,45.0,1.33,20.7,12.6,0,153.5,39,96,56,26,Cloudy,25.7,0,38,32,19,15,10,7,0.842,0.789,0.667,0.667,3,0.3,0.184,776.29,5.11,113.05,35.77,12.992022,77.547103,8986d8b34abffff,No Event,No Event,0.0
03-01-2024,10:15,Ulsoor,Cambridge Layout Road,770,38.5,1.56,25.8,15.4,0,149.9,31,80,30,12,Light Rain,23.4,0,698,630,600,487,459,338,0.903,0.812,0.943,0.943,121,0.264,0.484,94122.78,5.05,136.85,1706.9,12.978999,77.624157,8986d8845c3ffff,Art & Design Fair  Ulsoor,Exhibition,0.48
03-01-2024,10:45,Koramangala,Koramangala 80 Feet Road,1027,44.1,1.36,26.3,20.5,3,167.0,27,85,90,32,Light Rain,23.7,0,390,371,363,339,289,278,0.951,0.934,0.853,0.853,11,0.038,0.713,31854.5,3.54,109.72,984.12,12.929292,77.61797,8986d88454fffff,Neighborhood Event  Koramangala,No Event,0.12
03-01-2024,14:30,Rajajinagar,Industrial Town Road,112,51.5,1.17,10.7,2.2,1,134.5,35,87,35,13,Storm,18.8,1,165,148,114,102,100,70,0.897,0.895,0.98,0.98,30,0.3,0.424,4194.42,4.77,87.57,333.9,12.992022,77.547103,8986d8b34abffff,Classical Music Recital  Rajajinagar,Cultural,0.56
03-01-2024,14:30,Yeshwanthpur,Tumkur Road,272,52.1,1.15,12.5,5.4,1,133.8,16,88,31,17,Light Rain,22.9,0,103,93,80,70,54,42,0.903,0.875,0.771,0.771,12,0.222,0.408,2358.95,3.36,76.74,141.12,13.02128,77.545858,8986dd49b7bffff,No Event,No Event,0.0
