zone,Datetime,Completed Trips,Traffic Volume,Average Speed,Congestion Level,Temperature,Drivers' Earnings,Distance Travelled (km),event importance,Bookings,event type
8986d880d77ffff,2024-01-05 18:30:00,85.0,481.0,47.121,16.321,23.504,3519.747,513.369,0.0,112.0,No Event
8986d880d77ffff,2024-01-07 18:45:00,241.0,1324.398950135941,32.5,42.12779439509311,30.3,85825.04,1954.51,0.87,526.1780508958601,Local
8986d880d77ffff,2024-01-09 18:30:00,91.0,466.0,47.54,16.596,23.281,2065.448,502.273,0.049,106.0,No Event
8986d880d77ffff,2024-01-10 18:30:00,68.0,430.0,47.211,16.581,23.953,3276.945,558.085,0.0,98.0,No Event
8986d880d77ffff,2024-01-12 22:45:00,53.0,93.0,57.37,7.862,25.192,5215.502,228.881,0.0,58.0,No Event
8986d880d77ffff,2024-01-15 22:15:00,132.0,138.0,57.787,8.351,25.216,8525.779,667.925,0.01,141.0,No Event
8986d880d77ffff,2024-01-16 22:45:00,57.0,102.0,57.2,7.7,24.5,2887.1,250.8,0.0,67.0,No Event
8986d880d77ffff,2024-01-19 18:30:00,84.0,429.0,47.9,16.6,23.7,4062.7,476.28,0.0,94.0,No Event
8986d880d77ffff,2024-01-20 18:30:00,80.0,464.0,47.401,16.319,23.855,5556.188,434.239,0.0,66.0,No Event
8986d880d77ffff,2024-01-22 09:45:00,140.0,855.0,45.8,23.2,28.8,7427.39,317.8,0.0,143.0,No Event
8986d880d77ffff,2024-01-22 22:45:00,52.0,78.0,56.974,7.148,24.4,4274.537,195.432,0.0,71.0,No Event
8986d880d77ffff,2024-01-23 00:15:00,17.0,63.0,47.8,11.9,28.5,666.85,75.48,0.0,24.0,No Event
8986d880d77ffff,2024-01-27 22:15:00,137.0,174.0,57.2,8.7,25.3,6631.19,611.02,0.0,142.0,No Event
8986d880d77ffff,2024-01-29 09:30:00,19.0,436.0,53.6,13.9,25.4,2029.81,83.79,0.0,26.0,No Event
8986d880d77ffff,2024-01-29 18:30:00,76.0,463.0,48.411,16.29,23.946,6386.856,351.678,0.0,115.0,No Event
8986d880d77ffff,2024-02-01 08:30:00,526.0,1551.7140660211512,48.1,33.25086195551634,26.2,82566.73,3308.54,0.71,865.3457222533302,Cultural
8986d880d77ffff,2024-02-04 09:30:00,24.0,440.0,54.046,12.696,25.973,0.0,220.034,0.001,24.0,No Event
